Data Sorting Method,Number of Lines,Insert Time,Search Time,Delete Time

Sorted,100,0.000114,0.000055,0.000058
Shuffled,100,0.000058,0.000024,0.000046
Reversed,100,0.000037,0.000021,0.000028

Sorted,500,0.001130,0.000160,0.000190
Shuffled,500,0.000098,0.000115,0.000079
Reversed,500,0.000076,0.000064,0.000066

Sorted,1000,0.001592,0.000250,0.000425
Shuffled,1000,0.000139,0.000123,0.000129
Reversed,1000,0.000132,0.000122,0.000124

Sorted,2000,0.002553,0.000356,0.000593
Shuffled,2000,0.000395,0.000256,0.000248
Reversed,2000,0.000287,0.000272,0.000307

Sorted,3500,0.004042,0.000468,0.000741
Shuffled,3500,0.000457,0.000421,0.000430
Reversed,3500,0.000450,0.000397,0.000416

Sorted,5000,0.004455,0.000680,0.000885
Shuffled,5000,0.000668,0.000619,0.000603
Reversed,5000,0.000649,0.000613,0.000604

Sorted,7000,0.006959,0.000938,0.001106
Shuffled,7000,0.001189,0.000957,0.000857
Reversed,7000,0.000918,0.000819,0.000849

Sorted,9000,0.011330,0.002756,0.002259
Shuffled,9000,0.001524,0.001123,0.001133
Reversed,9000,0.001227,0.001010,0.001034
